% Model,EM_Reluctance.mph
0.17500000000000002,0.13,0.13,-1.3874591335094697E-6
0.18,-0.13,-0.13,3.281782600035146E-5
0.18,-0.13,0,2.006259188452738E-4
0.18,-0.13,0.13,2.3248558691765016E-5
0.18,0,-0.13,-1.7259452044134316E-4
0.18,0,0,0
0.18,0,0.13,-1.7259452049422905E-4
0.18,0.13,-0.13,2.3248558956289855E-5
0.18,0.13,0,2.006259188952704E-4
0.18,0.13,0.13,3.281782600326056E-5
0.185,-0.13,-0.13,3.3229725148643216E-5
0.185,-0.13,0,2.026170605204082E-4
0.185,-0.13,0.13,2.8165978987507406E-5
0.185,0,-0.13,-1.7192083108872352E-4
0.185,0,0,0
0.185,0,0.13,-1.719208311550499E-4
0.185,0.13,-0.13,2.8165979043690302E-5
0.185,0.13,0,2.026170606903162E-4
0.185,0.13,0.13,3.3229725191011506E-5
0.19,-0.13,-0.13,5.993093286918441E-5
0.19,-0.13,0,2.1535543421231855E-4
0.19,-0.13,0.13,4.903924020729019E-5
0.19,0,-0.13,-1.6086820343660498E-4
0.19,0,0,0
0.19,0,0.13,-1.6086820342155469E-4
0.19,0.13,-0.13,4.9039240258849995E-5
0.19,0.13,0,2.1535543421984134E-4
0.19,0.13,0.13,5.9930932766130316E-5
0.195,-0.13,-0.13,7.660055403973688E-5
0.195,-0.13,0,2.2610828192172233E-4
0.195,-0.13,0.13,6.393788846702114E-5
0.195,0,-0.13,-1.5584070186168905E-4
0.195,0,0,0
0.195,0,0.13,-1.5584070191928992E-4
0.195,0.13,-0.13,6.393788850607117E-5
0.195,0.13,0,2.2610828191828362E-4
0.195,0.13,0.13,7.66005539884088E-5
0.2,-0.13,-0.13,9.458349933066441E-5
0.2,-0.13,0,2.4174463920895054E-4
0.2,-0.13,0.13,7.993462499531417E-5
0.2,0,-0.13,-1.5448762149853542E-4
0.2,0,0,0
0.2,0,0.13,-1.5448762151716155E-4
0.2,0.13,-0.13,7.993462561826436E-5
0.2,0.13,0,2.4174463950889957E-4
0.2,0.13,0.13,9.458349934867496E-5
0.20500000000000002,-0.13,-0.13,1.21231682496038E-4
0.20500000000000002,-0.13,0,2.4953830848982694E-4
0.20500000000000002,-0.13,0.13,1.0059657420453221E-4
0.20500000000000002,0,-0.13,-1.3862624015663233E-4
0.20500000000000002,0,0,0
0.20500000000000002,0,0.13,-1.3862624033946313E-4
0.20500000000000002,0.13,-0.13,1.0059657427628714E-4
0.20500000000000002,0.13,0,2.4953830856407327E-4
0.20500000000000002,0.13,0.13,1.2123168249276851E-4
0.21,-0.13,-0.13,1.3586605908644895E-4
0.21,-0.13,0,2.5822894360994376E-4
0.21,-0.13,0.13,1.1325134561613591E-4
0.21,0,-0.13,-1.3367172202664355E-4
0.21,0,0,0
0.21,0,0.13,-1.336717220251089E-4
0.21,0.13,-0.13,1.1325134584945195E-4
0.21,0.13,0,2.5822894368995484E-4
0.21,0.13,0.13,1.3586605903008041E-4
0.215,-0.13,-0.13,1.4649066507403034E-4
0.215,-0.13,0,2.646383900644543E-4
0.215,-0.13,0.13,1.2430645094763744E-4
0.215,0,-0.13,-1.2923773588265994E-4
0.215,0,0,0
0.215,0,0.13,-1.2923773587851422E-4
0.215,0.13,-0.13,1.2430645091071846E-4
0.215,0.13,0,2.646383900017759E-4
0.215,0.13,0.13,1.46490665101705E-4
0.22,-0.13,-0.13,1.9007983966995665E-4
0.22,-0.13,0,2.971953264177879E-4
0.22,-0.13,0.13,1.553934915612113E-4
0.22,0,-0.13,-1.244618396836662E-4
0.22,0,0,0
0.22,0,0.13,-1.2446183967196642E-4
0.22,0.13,-0.13,1.5539349155782183E-4
0.22,0.13,0,2.971953262048697E-4
0.22,0.13,0.13,1.9007983966703648E-4
0.225,-0.13,-0.13,2.0683789221524054E-4
0.225,-0.13,0,3.071506730089995E-4
0.225,-0.13,0.13,1.7193614722711746E-4
0.225,0,-0.13,-1.1776122594378259E-4
0.225,0,0,0
0.225,0,0.13,-1.1776122592235262E-4
0.225,0.13,-0.13,1.719361470118708E-4
0.225,0.13,0,3.071506730006513E-4
0.225,0.13,0.13,2.068378922137995E-4
0.23,-0.13,-0.13,2.28325771344051E-4
0.23,-0.13,0,3.246238160253466E-4
0.23,-0.13,0.13,1.8952887653601077E-4
0.23,0,-0.13,-1.1570036748429527E-4
0.23,0,0,0
0.23,0,0.13,-1.1570036750095356E-4
0.23,0.13,-0.13,1.8952887598592356E-4
0.23,0.13,0,3.246238160631424E-4
0.23,0.13,0.13,2.2832577162373854E-4
0.23500000000000001,-0.13,-0.13,2.3497871699399808E-4
0.23500000000000001,-0.13,0,3.237672300671465E-4
0.23500000000000001,-0.13,0.13,1.976657653635074E-4
0.23500000000000001,0,-0.13,-1.0744719929817408E-4
0.23500000000000001,0,0,0
0.23500000000000001,0,0.13,-1.0744719924998251E-4
0.23500000000000001,0.13,-0.13,1.9766576535236062E-4
0.23500000000000001,0.13,0,3.2376723013581826E-4
0.23500000000000001,0.13,0.13,2.349787171061964E-4
0.24,-0.13,-0.13,2.7571003143950055E-4
0.24,-0.13,0,3.5336979711529285E-4
0.24,-0.13,0.13,2.28947970535866E-4
0.24,0,-0.13,-1.010414618877036E-4
0.24,0,0,0
0.24,0,0.13,-1.0104146187725523E-4
0.24,0.13,-0.13,2.2894797050917068E-4
0.24,0.13,0,3.5336979711147884E-4
0.24,0.13,0.13,2.7571003141637956E-4
0.245,-0.13,-0.13,2.99914378343388E-4
0.245,-0.13,0,3.760527003700114E-4
0.245,-0.13,0.13,2.5169790408637353E-4
0.245,0,-0.13,-1.0024857973536592E-4
0.245,0,0,0
0.245,0,0.13,-1.002485797433159E-4
0.245,0.13,-0.13,2.5169790428110513E-4
0.245,0.13,0,3.7605270025086325E-4
0.245,0.13,0.13,2.999143784116387E-4
0.25,-0.13,-0.13,3.256560013593929E-4
0.25,-0.13,0,3.9256129751480775E-4
0.25,-0.13,0.13,2.714320435919199E-4
0.25,0,-0.13,-9.401940906202569E-5
0.25,0,0,0
0.25,0,0.13,-9.401940907126433E-5
0.25,0.13,-0.13,2.7143204332125435E-4
0.25,0.13,0,3.925612973838413E-4
0.25,0.13,0.13,3.2565600131801396E-4
0.255,-0.13,-0.13,3.6688539153294773E-4
0.255,-0.13,0,4.2120320699593427E-4
0.255,-0.13,0.13,3.0103796426800576E-4
0.255,0,-0.13,-8.724294503961174E-5
0.255,0,0,0
0.255,0,0.13,-8.724294505251772E-5
0.255,0.13,-0.13,3.010379641079507E-4
0.255,0.13,0,4.212032069843209E-4
0.255,0.13,0.13,3.6688539158304486E-4
0.26,-0.13,-0.13,4.160888543292011E-4
0.26,-0.13,0,4.637108446245492E-4
0.26,-0.13,0.13,3.379267161171202E-4
0.26,0,-0.13,-8.670467023948575E-5
0.26,0,0,0
0.26,0,0.13,-8.670467024422927E-5
0.26,0.13,-0.13,3.379267160843989E-4
0.26,0.13,0,4.6371084462665984E-4
0.26,0.13,0.13,4.1608885432290637E-4
0.265,-0.13,-0.13,4.339731437990259E-4
0.265,-0.13,0,4.7560932302418807E-4
0.265,-0.13,0.13,3.576302451972004E-4
0.265,0,-0.13,-7.981097026131484E-5
0.265,0,0,0
0.265,0,0.13,-7.981097026894444E-5
0.265,0.13,-0.13,3.576302451463848E-4
0.265,0.13,0,4.7560932302246234E-4
0.265,0.13,0.13,4.339731437667138E-4
0.27,-0.13,-0.13,4.835644587406813E-4
0.27,-0.13,0,5.189758026549579E-4
0.27,-0.13,0.13,3.969655100476838E-4
0.27,0,-0.13,-7.871600346849688E-5
0.27,0,0,0
0.27,0,0.13,-7.871600346720215E-5
0.27,0.13,-0.13,3.9696550995398734E-4
0.27,0.13,0,5.189758026878279E-4
0.27,0.13,0.13,4.8356445915021445E-4
0.275,-0.13,-0.13,5.321194349562395E-4
0.275,-0.13,0,5.597188219172442E-4
0.275,-0.13,0.13,4.374956457843044E-4
0.275,0,-0.13,-7.490939037240062E-5
0.275,0,0,0
0.275,0,0.13,-7.490939040957924E-5
0.275,0.13,-0.13,4.374956455106185E-4
0.275,0.13,0,5.597188217740965E-4
0.275,0.13,0.13,5.321194348877515E-4
0.28,-0.13,-0.13,5.674496244375135E-4
0.28,-0.13,0,5.87736487718757E-4
0.28,-0.13,0.13,4.6646212298386567E-4
0.28,0,-0.13,-7.078334897003913E-5
0.28,0,0,0
0.28,0,0.13,-7.07833489525152E-5
0.28,0.13,-0.13,4.6646212362300984E-4
0.28,0.13,0,5.877364877504057E-4
0.28,0.13,0.13,5.674496242629778E-4
0.28500000000000003,-0.13,-0.13,6.258261650924541E-4
0.28500000000000003,-0.13,0,6.405418134652789E-4
0.28500000000000003,-0.13,0.13,5.17210037042506E-4
0.28500000000000003,0,-0.13,-6.90269522065923E-5
0.28500000000000003,0,0,0
0.28500000000000003,0,0.13,-6.902695222602595E-5
0.28500000000000003,0.13,-0.13,5.172100370519446E-4
0.28500000000000003,0.13,0,6.405418133635795E-4
0.28500000000000003,0.13,0.13,6.258261645891228E-4
0.29,-0.13,-0.13,6.748138567224972E-4
0.29,-0.13,0,6.790323064107814E-4
0.29,-0.13,0.13,5.544905404728387E-4
0.29,0,-0.13,-6.438431427826293E-5
0.29,0,0,0
0.29,0,0.13,-6.438431425856935E-5
0.29,0.13,-0.13,5.544905404855886E-4
0.29,0.13,0,6.79032306425317E-4
0.29,0.13,0.13,6.748138564667421E-4
0.295,-0.13,-0.13,7.404536233568168E-4
0.295,-0.13,0,7.402880319783298E-4
0.295,-0.13,0.13,6.09613659944763E-4
0.295,0,-0.13,-6.525439012952222E-5
0.295,0,0,0
0.295,0,0.13,-6.525439012300002E-5
0.295,0.13,-0.13,6.096136599439795E-4
0.295,0.13,0,7.402880319401468E-4
0.295,0.13,0.13,7.404536233160355E-4
0.3,-0.13,-0.13,8.050717374644568E-4
0.3,-0.13,0,7.988437433962584E-4
0.3,-0.13,0.13,6.660226076220204E-4
0.3,0,-0.13,-6.329724991684938E-5
0.3,0,0,0
0.3,0,0.13,-6.329724991012917E-5
0.3,0.13,-0.13,6.660226074764566E-4
0.3,0.13,0,7.988437432246095E-4
0.3,0.13,0.13,8.050717374642932E-4
0.305,-0.13,-0.13,8.805308684123306E-4
0.305,-0.13,0,8.640973345414586E-4
0.305,-0.13,0.13,7.274662450044554E-4
0.305,0,-0.13,-6.009937371751919E-5
0.305,0,0,0
0.305,0,0.13,-6.0099373719801045E-5
0.305,0.13,-0.13,7.27466245251438E-4
0.305,0.13,0,8.640973345326932E-4
0.305,0.13,0.13,8.805308685178128E-4
0.31,-0.13,-0.13,9.681693896161055E-4
0.31,-0.13,0,9.376556234599227E-4
0.31,-0.13,0.13,7.968618518351927E-4
0.31,0,-0.13,-5.5138965265148525E-5
0.31,0,0,0
0.31,0,0.13,-5.513896526070995E-5
0.31,0.13,-0.13,7.968618516300183E-4
0.31,0.13,0,9.376556233207873E-4
0.31,0.13,0.13,9.681693896596836E-4
0.315,-0.13,-0.13,0.0010829141682956876
0.315,-0.13,0,0.0010387887397764143
0.315,-0.13,0.13,8.883894097894395E-4
0.315,0,-0.13,-5.3137932499924306E-5
0.315,0,0,0
0.315,0,0.13,-5.3137932512404374E-5
0.315,0.13,-0.13,8.88389409286863E-4
0.315,0.13,0,0.0010387887394911074
0.315,0.13,0.13,0.0010829141684362696
0.32,-0.13,-0.13,0.0011748868798590383
0.32,-0.13,0,0.0011232869772056057
0.32,-0.13,0.13,9.700064661750752E-4
0.32,0,-0.13,-5.0842058837117394E-5
0.32,0,0,0
0.32,0,0.13,-5.0842058853952235E-5
0.32,0.13,-0.13,9.70006465908321E-4
0.32,0.13,0,0.001123286977205603
0.32,0.13,0.13,0.0011748868788365966
0.325,-0.13,-0.13,0.0012996346676405989
0.325,-0.13,0,0.0012355273735233823
0.325,-0.13,0.13,0.0010710045294290516
0.325,0,-0.13,-5.020747067439862E-5
0.325,0,0,0
0.325,0,0.13,-5.0207470747902216E-5
0.325,0.13,-0.13,0.001071004528297052
0.325,0.13,0,0.0012355273729326537
0.325,0.13,0.13,0.0012996346675741653
0.33,-0.13,-0.13,0.0014405454698104168
0.33,-0.13,0,0.001359799552292726
0.33,-0.13,0.13,0.0011847467691210665
0.33,0,-0.13,-4.715494227479527E-5
0.33,0,0,0
0.33,0,0.13,-4.715494227353817E-5
0.33,0.13,-0.13,0.001184746765946372
0.33,0.13,0,0.0013597995528046747
0.33,0.13,0.13,0.0014405454694753055
0.335,-0.13,-0.13,0.0016237281684328957
0.335,-0.13,0,0.0015272414905873714
0.335,-0.13,0.13,0.0013397835345224504
0.335,0,-0.13,-4.548598272273285E-5
0.335,0,0,0
0.335,0,0.13,-4.548598274654608E-5
0.335,0.13,-0.13,0.001339783534298058
0.335,0.13,0,0.001527241490945452
0.335,0.13,0.13,0.001623728168848092
0.34,-0.13,-0.13,0.0018483115957001086
0.34,-0.13,0,0.0017331338794921713
0.34,-0.13,0.13,0.0015266248679735336
0.34,0,-0.13,-4.5664670205600295E-5
0.34,0,0,0
0.34,0,0.13,-4.566467022946062E-5
0.34,0.13,-0.13,0.0015266248679464789
0.34,0.13,0,0.0017331338793352112
0.34,0.13,0.13,0.0018483115968623781
0.34500000000000003,-0.13,-0.13,0.002143067342898603
0.34500000000000003,-0.13,0,0.001993440317672327
0.34500000000000003,-0.13,0.13,0.0017626069665709551
0.34500000000000003,0,-0.13,-4.060159203365637E-5
0.34500000000000003,0,0,0
0.34500000000000003,0,0.13,-4.0601592989114436E-5
0.34500000000000003,0.13,-0.13,0.001762606965962533
0.34500000000000003,0.13,0,0.001993440315404424
0.34500000000000003,0.13,0.13,0.002143067343022873
0.35000000000000003,-0.13,-0.13,-3.723659760357918E-4
0.35000000000000003,-0.13,0,-2.1422301205536963E-4
0.35000000000000003,-0.13,0.13,-1.5451698933298272E-4
0.35000000000000003,0,-0.13,-4.921844832848581E-5
0.35000000000000003,0,0,0
0.35000000000000003,0,0.13,-4.921844833179326E-5
0.35000000000000003,0.13,-0.13,-1.5451698929937516E-4
0.35000000000000003,0.13,0,-2.1422301200779443E-4
0.35000000000000003,0.13,0.13,-3.7236597588933857E-4
